id,label
high3622_0,A
high3622_1,A
high3622_2,C
high3622_3,A
high3622_4,B
high3622_5,A
high3622_6,A
high3622_7,A
high3622_8,A
high3622_9,A
high3622_10,C
high3622_11,A
high3622_12,A
high3622_13,A
high3622_14,A
high3622_15,A
high3622_16,A
high3622_17,A
high3622_18,D
high3622_19,A
high3623_0,A
high3623_1,A
high3623_2,A
high3623_3,A
high3623_4,A
high3623_5,D
high3623_6,A
high3623_7,A
high3623_8,A
high3623_9,A
high3623_10,A
high3623_11,A
high3623_12,A
high3623_13,A
high3623_14,A
high3623_15,A
high3623_16,A
high3623_17,A
high3623_18,A
high3623_19,A
high3624_0,A
high3624_1,A
high3624_2,A
high3624_3,A
high3624_4,A
high3624_5,A
high3624_6,A
high3624_7,A
high3624_8,A
high3624_9,A
high3624_10,A
high3624_11,A
high3624_12,A
high3624_13,A
high3624_14,B
high3625_0,A
high3625_1,A
high3625_2,B
high3625_3,A
high3625_4,A
high3625_5,B
high3625_6,A
high3625_7,C
high3625_8,C
high3625_9,A
high3625_10,A
high3625_11,A
high3625_12,A
high3625_13,A
high3625_14,A
high3625_15,C
high3625_16,A
high3626_0,A
high3626_1,A
high3626_2,A
high3626_3,A
high3626_4,A
high3626_5,A
high3626_6,A
high3626_7,A
high3626_8,A
high3626_9,A
high3626_10,A
high3626_11,A
high3626_12,A
high3626_13,D
high3626_14,D
high3626_15,B
high3626_16,A
high3626_17,A
high3626_18,A
high3626_19,A
high3627_0,A
high3627_1,A
high3627_2,C
high3627_3,A
high3627_4,A
high3627_5,A
high3627_6,A
high3627_7,A
high3627_8,A
high3627_9,A
high3627_10,A
high3627_11,A
high3627_12,A
high3627_13,A
high3627_14,A
high3627_15,A
high3627_16,C
high3627_17,A
high3627_18,A
high3627_19,A
high3628_0,A
high3628_1,A
high3628_2,A
high3628_3,A
high3628_4,A
high3628_5,A
high3628_6,A
high3628_7,B
high3628_8,A
high3628_9,A
high3628_10,A
high3628_11,A
high3628_12,A
high3628_13,A
high3628_14,A
high3628_15,A
high3628_16,A
high3629_0,B
high3629_1,D
high3629_2,A
high3629_3,A
high3629_4,B
high3629_5,A
high3629_6,C
high3629_7,D
high3629_8,C
high3629_9,A
high3629_10,A
high3629_11,B
high3629_12,B
high3629_13,A
high3629_14,A
high3629_15,A
high3629_16,D
high3630_0,C
high3630_1,A
high3630_2,A
high3630_3,A
high3630_4,A
high3630_5,A
high3630_6,C
high3630_7,B
high3630_8,D
high3630_9,A
high3630_10,A
high3630_11,D
high3630_12,A
high3630_13,B
high3630_14,C
